loan_amnt,annual_inc,dti,open_acc,revol_bal,revol_util,total_acc,int_rate,installment,term,grade,home_ownership,verification_status,purpose,loan_status
10387.485845398764,37236.83314331912,11.56486179578481,11,1166.8675187393574,64.61614950316068,17,21.774436433565846,297.7449838222748,36 months,C,MORTGAGE,Source Verified,home_improvement,Charged Off
7561.825054877903,48346.56122762428,4.108239358601175,7,14429.469343835553,67.93185489026872,19,21.280025012243456,508.96542386482037,60 months,C,MORTGAGE,Verified,debt_consolidation,Fully Paid
11201.962543717547,39412.30110197386,4.442587010856334,13,1807.5059555569749,31.824491428238566,16,18.503889146429703,972.1714950944939,36 months,B,RENT,Verified,other,Charged Off
17352.900170447883,64685.51867941705,10.807041417775782,11,2311.324058966869,37.162949401026644,26,16.745570896754085,397.4504941733206,36 months,C,RENT,Not Verified,medical,Fully Paid
7207.830710215979,138416.8373644071,7.280943229653687,8,46557.416993708706,78.74548399760265,23,9.445053008810442,460.0784067130007,36 months,B,RENT,Source Verified,debt_consolidation,Fully Paid
7207.889878727207,34900.990539247876,22.3193727774008,16,855.1675337456749,58.63161032644501,13,22.0433296409291,565.8400758516316,36 months,A,MORTGAGE,Not Verified,debt_consolidation,Charged Off
17847.280233967984,120640.98505327989,3.2208178515899313,14,7250.467800071503,22.69995201442186,23,16.765690741323088,346.3167933163783,36 months,F,MORTGAGE,Not Verified,credit_card,Fully Paid
11893.143833018397,34642.25814022267,25.818140506756528,12,454.4625426374815,44.39058810360261,25,22.24472176576295,395.9795391943651,36 months,C,RENT,Verified,debt_consolidation,Fully Paid
6407.745724611056,33079.23262285024,5.30327349675094,11,1054.2896224722535,57.43353710508748,20,9.033662825511477,680.9378367818148,36 months,C,OWN,Verified,car,Fully Paid
10628.347699785776,106193.2931561265,15.610645122898337,11,7221.780353936279,50.11958124706789,14,17.564195014936917,142.22343834878157,36 months,E,MORTGAGE,Not Verified,debt_consolidation,Fully Paid
6427.1800113667805,114159.91009385417,25.765600173402504,7,545.843518699251,34.57610218200005,16,18.647299552936932,383.84893734698306,36 months,C,MORTGAGE,Not Verified,credit_card,Fully Paid
6419.754289030283,108660.86228879727,6.335356719544679,10,8533.610839107607,67.15802191172753,21,15.246878942577425,426.02310014640125,60 months,A,MORTGAGE,Not Verified,debt_consolidation,Fully Paid
9145.169869569034,23835.74954169583,14.300040421202215,9,2287.355925788297,19.8795723624039,13,5.535475498697182,925.1561006147872,36 months,E,OWN,Source Verified,credit_card,Charged Off
3113.055123093448,43210.30620544808,6.843087547534571,4,924.8197166347836,45.457886118388124,17,14.045367736406986,229.81490528194388,60 months,C,OTHER,Not Verified,medical,Charged Off
